Title,Genre,Original,Generated
The French Connection,"['action', 'crime', 'thriller']",There are no rules and no holds barred when Popeye cuts loose!,"I'm not a drug dealer, I'm a detective."
You Will Be Mine,"['music', 'drama']",You Will Be Mine,"It's not about the money, it's about love."
Superstar,"['comedy', 'family']",Dare to dream.,"I want to be a star, but I don't know what to do with myself."
Judge Dredd,['science fiction'],"In the future, one man is the law.","I am a man, and I am the only one who can save the world."
Bugsy Malone,"['drama', 'action', 'comedy', 'music', 'family']",Every year brings a great movie. Every decade a great movie musical!,"It's not about the money, it's about who you are, what you do, and how you feel."
Stolen,"['action', 'crime', 'drama', 'thriller']",Never steal from the world's greatest thief.,"I don't know what to do, but I do know that I'm going to have to find a way to get her back home."
Killer Force,"['action', 'thriller']",They were professionals who killed for hire. But the man who hunted them killed for pleasure!,"It's not about the money, it's about what's in it."
The Story of Mankind,"['drama', 'fantasy']",Explorer... Warrior... Dreamer!,It's not a good time to be a man.
Hilary and Jackie,"['music', 'drama']",Two sisters. Two lives. One Love...,"It's not about the money, it's about love."
Interstellar,"['adventure', 'drama', 'science fiction']",Mankind was born on Earth. It was never meant to die here.,"I am the only one who can make it to the end of the world, and I'm not going to let that stop me."
Pecker,['comedy'],He never realized how far 35 millimeters would take him.,"I don't know what to do with my life, but I know I'm going to have to."
The Waterdance,['drama'],"Sometimes, life happens by accident.","I don't know what to do with my life, but I'm going to try to find a way to get out of it."
Apache Rifles,['western'],The Cry Was Revenge - And One Man Vowed to Stop the Bloodshed of Two Warring Nations!,"I am a man of the people, and I am the only one who has the courage to stand up for what I believe in."
Captain Horatio Hornblower R.N.,"['war', 'action', 'adventure', 'drama']",The sun never sets on his world of adventure.,"It's not just a game, it's a war."
Captivity,"['crime', 'horror', 'thriller']",When You Think The Worst Has Happened... Think Worse,The only way to save the world is to go to hell.
Young Sherlock Holmes,"['action', 'adventure', 'crime', 'drama', 'family', 'mystery', 'thriller']","Before a lifetime of adventure, they lived the adventure of a lifetime.","If you're going to make it to the top, you've got to do it in the right way."
A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,"['animation', 'documentary']","Still Dead, And Now in 3D",It's not about the money.
Google Me,['documentary'],It all started when i Googled my name.,"I am a man of the people, and I am the only one who has the courage to stand up for what I believe in."
Gasland,['documentary'],Can you light your water on fire?,This is the story of a man and a woman who live together in a small town in the middle of nowhere.
That Thing You Do!,"['comedy', 'drama']",In every life there comes a time when that dream you dream becomes that thing you do.,It's time to get back on the road and get out of the car.
Awake,"['thriller', 'crime', 'mystery']","Every year, one in 700 people wake up during surgery.",anesthetic awareness is a term used to describe the state of a person's mind when they experience an experience that causes them to become aware of
Find Me,['horror'],Some secrets should stay hidden,"It's not just a game of hide and seek, it's an adventure."
Safe Men,"['comedy', 'crime']",Welcome to the world of disorganised crime.,"It's not about the money, it's about love."
The Greek Tycoon,['drama'],"She was the most famous woman in the world. He was a peasant, a pirate, a shark. What he couldn't buy with money he stole with charm.",I don't know what to do with my life.
Bluebird,['drama'],"Merel, a talented young girl, is suddenly getting bullied at school.",I don't know what to do with my life.
Race,"['drama', 'action', 'thriller', 'crime']",Two Brothers... One Plays to Win... One Plays to Defeat,This is the story of a young girl who has been kidnapped by a gang of gangsters.
A Time for Killing,['western'],Two violent men... and a violated woman!,"I am the only one who can save the world, and I will not be the one to stop it."
The Brave One,"['crime', 'drama', 'thriller']",How many wrongs to make it right?,I'm not going to let you down.
Smiling Fish & Goat On Fire,"['comedy', 'romance']","two brothers, four women and the search for Magnetic Perfection","I don't know what to do with my life, but I'm going to try to find a way to make it work for me."
Maximum Ride,"['action', 'adventure', 'comedy', 'fantasy', 'science fiction', 'thriller']",Welcome To Her Nightmare,It's the only way to save the world.
Better Than Chocolate,"['drama', 'romance']",A delicious romantic comedy.,"I don't know what to do with her, but I'm not going to let her get away with it."
Planet of the Vampires,"['science fiction', 'horror']",This was the day the universe trembled before the demon forces of the killer planet!,This is the first in a new series of short stories about the life and death of a young woman who has been kidnapped by a group of aliens.
Fearless,['drama'],Some people are afraid of nothing.,"I'm not a bad person, I'm a good person."
The Silent World,['documentary'],Out of an uncharted universe - comes an experience of unearthly beauty...,The Silent World is a story of underwater exploration and exploration of the world's deepest ocean.
Ten Seconds to Hell,"['romance', 'drama', 'war', 'action']",BLOCKBUSTER ABOUT TO EXPLODE!,"I'm a man of the people, and I'm not the only one."
A Face in the Crowd,['drama'],"POWER! He loved it! He took it raw in big gulpfuls...he liked the taste, the way it mixed with the bourbon and the sin in his blood!","It's not about the money, it's about who you are and what you're doing."
"Not For, or Against (Quite the Contrary)","['drama', 'crime']",The wrong path is often the best.,"I don't know what to do with my life, but I'm going to try to find a way to live with it."
Proof,"['drama', 'mystery']",The biggest risk in life is not taking one.,"It's time to get back to the drawing boards the way it was when I was a kid, and I'm back with a vengeance."
Korengal,['documentary'],This is what war feels like,This is the story of a group of young men who are sent on a mission to rescue a young girl from the clutches of their captors.
Dangerous Money,"['crime', 'mystery']",One of Chan's Most Terrifying Cases!,I'm not going to let you down.
Circus World,"['western', 'drama']",John Wayne Wild Across the World!,"It's not about the money, it's about love."
The Hippopotamus,['comedy'],A beast of a comedy.,"I don't know what to do with my life, but I can't stop thinking about it."
Frankenweenie,"['comedy', 'family']",A comic twist on a classic tail!,I don't know what to do with my life.
Four Rooms,"['crime', 'comedy']","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",It's time to go to the movies.
About a Boy,"['drama', 'comedy', 'romance']",One ordinary couple. One little white lie.,"I'm a man of the people, and I'm not the only one."
Old Fashioned: The Story of the Wisconsin Supper Club,"['documentary', 'history']",A new documentary on an old fashioned tradition,This is the story of the Wisconsin Supper Club.
The Lady in the Car with Glasses and a Gun,['drama'],Her first mistake was getting into the car.,I'm not sure what to make of it.
Dead Snow 2: Red vs. Dead,"['horror', 'action', 'comedy']",Heads up. They're back.,This is the story of a group of young men who find themselves in the middle of an epic battle between the forces of evil and the people of the world.
Empire Falls,"['drama', 'romance']",Every small town has a big story,"I'm not the only one, but I'm the one who's got to get the job done."
Air Bud: Seventh Inning Fetch,"['comedy', 'drama', 'family']",He's A Natural Baseball Player With Major League Talent!,"It's not just a game, it's a life."
The Yankles,['comedy'],They Came. They Prayed. They Played!,"It's not just a game, it's a life."
Super Stooges vs the Wonder Women,"['action', 'adventure', 'science fiction', 'comedy', 'fantasy']",Three men with supernatural powers interfere in a tribal warfare to prevent evil Amazons destroying the inhabitants of a village.,"I am the only one who can save the world, and I will do whatever it takes to save it."
Torture Garden,['horror'],Do You Dare See What Dr. Diabolo Sees?,"It's not just a movie, it's a real life experience."
The Secret of NIMH,"['fantasy', 'animation', 'drama', 'family']",Right before your eyes and beyond your wildest dreams.,"It's not about the money, it's about love."
The Dukes,"['comedy', 'crime', 'drama', 'music']","The music was then , the time is now","It's not the end of the world, it's the beginning of a new world."
Field of Dreams,"['drama', 'fantasy']","If you believe the impossible, the incredible can come true.","It's not just a baseball diamond, it's a diamond."
Ferocious Planet,"['adventure', 'action', 'thriller', 'science fiction']",They're Not on Earth Anymore.,The only way to save the world is to find a way out of this nightmare.
Half Moon Street,['drama'],"Dr. Lauren Slaughter, professor, emissary, hooker, target.","It's not about money, it's about love."
The World Is Not Enough,"['adventure', 'action', 'thriller']",As the countdown begins for the new millennium there is still one number you can always count on.,"It's all in a day's work for Bond, who's on a mission to protect a beautiful oil heiress from a notorious terrorist."
Life,"['horror', 'science fiction', 'thriller']",Be careful what you search for,"It's not the first time we've seen aliens in space, but it's the only time in the history of the human race that a human has been"
Tracks,"['crime', 'drama']",His life began a dead end.,"This is the story of a young man who, in the middle of the night, decides to go to the bathroom to get some water, and when he does"
The Carey Treatment,"['crime', 'mystery', 'thriller']",Peter Carey M.D.: arrives from the coast - finds hypocrisy in a big Boston hospital - and a brilliant surgeon accused of abortion that turns to murder.,This is the story of a young girl who has been kidnapped by a gang of gangsters.
Feast,"['animation', 'comedy', 'drama', 'family']",Pet is not just a pet,"This is the story of one man's love life as seen through the eyes of his best friend and dog, Winston, and revealed bite by bite through their meals"
Bonnie's Kids,"['action', 'drama', 'crime']",They Were Born Innocent ... But They Didn't Stay That Way.,It's time to get out of the house and get back to the real world.
Virgin Witch,['horror'],Every man was hers to command,"I'm not a witch, I'm a man."
Victim,['drama'],Their future was menaced by the past,"I don't know what to do with my life, but I'm going to try to find a way to get out of it."
The Outlaw Josey Wales,"['drama', 'western']",...an army of one.,I don't know what to do with my life.
Gambling House,['crime'],Here comes Mature !,I don't know what to do with my life.
Live Free or Die Hard,"['action', 'thriller']",The old school cop is back!,This is the first in a series of short stories about the life and work of a young hacker who is trying to break into the world of the Internet.A
