Title,Genre,Original,Generated
Apache Rifles,['western'],The Cry Was Revenge - And One Man Vowed to Stop the Bloodshed of Two Warring Nations!,A young cavalry officer is assigned the job of bringing in a band of Apaches who have been terrorizing the countryside.The story is set in the 1950s
Captain Horatio Hornblower R.N.,"['war', 'action', 'adventure', 'drama']",The sun never sets on his world of adventure.,"If you're going to make it to the end of the world, you've got to get there first."
Captivity,"['crime', 'horror', 'thriller']",When You Think The Worst Has Happened... Think Worse,I am the only one in the world who can do this.
Young Sherlock Holmes,"['action', 'adventure', 'crime', 'drama', 'family', 'mystery', 'thriller']","Before a lifetime of adventure, they lived the adventure of a lifetime.","I don't know what to do, but I do know that I can do it."
A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,"['animation', 'documentary']","Still Dead, And Now in 3D","It's not just a movie, it's a life."
Google Me,['documentary'],It all started when i Googled my name.,"This is the story of a young man who, in the middle of the night, is attacked by a group of men who are trying to kill him."
Gasland,['documentary'],Can you light your water on fire?,"This is the story of a man who, in a desperate attempt to save his family's life, decides to take on the world's most powerful man, the"
That Thing You Do!,"['comedy', 'drama']",In every life there comes a time when that dream you dream becomes that thing you do.,It's all about the money.
Awake,"['thriller', 'crime', 'mystery']","Every year, one in 700 people wake up during surgery.","I'm not a bad person, I'm a good person."
Find Me,['horror'],Some secrets should stay hidden,I am the only one in the world.
Safe Men,"['comedy', 'crime']",Welcome to the world of disorganised crime.,"I don't know what to do, but I do know that I can do it, and I'm not going to let it get to me."
The Greek Tycoon,['drama'],"She was the most famous woman in the world. He was a peasant, a pirate, a shark. What he couldn't buy with money he stole with charm.","I don't know what to do with my life, but I do know that I'm not going to be able to live without my wife."
Bluebird,['drama'],"Merel, a talented young girl, is suddenly getting bullied at school.",Merel is a young girl with a lot of talent.
Race,"['drama', 'action', 'thriller', 'crime']",Two Brothers... One Plays to Win... One Plays to Defeat,This is the story of a young girl who has been kidnapped by a group of gangsters.
A Time for Killing,['western'],Two violent men... and a violated woman!,The war is over.
The Brave One,"['crime', 'drama', 'thriller']",How many wrongs to make it right?,"I don't know what to do with my life, but I do know that I'm not going to let this happen to me."
Smiling Fish & Goat On Fire,"['comedy', 'romance']","two brothers, four women and the search for Magnetic Perfection","I don't know what to do with my life, but I do know that I'm not the only one in the world who has to deal with the"
Maximum Ride,"['action', 'adventure', 'comedy', 'fantasy', 'science fiction', 'thriller']",Welcome To Her Nightmare,"It's not about the money, it's about what you do with it, and how you use it."
Better Than Chocolate,"['drama', 'romance']",A delicious romantic comedy.,I don't want to live in a world where I'm not allowed to be a part of it.
Planet of the Vampires,"['science fiction', 'horror']",This was the day the universe trembled before the demon forces of the killer planet!,I am the only one who can save the world.
Fearless,['drama'],Some people are afraid of nothing.,I don't know what to do with my life.
The Silent World,['documentary'],Out of an uncharted universe - comes an experience of unearthly beauty...,The Silent World (French: Le Monde du silence) is a 1956 French documentary film co-directed by the famed French oceanographer Jacques-Yves Cou
Ten Seconds to Hell,"['romance', 'drama', 'war', 'action']",BLOCKBUSTER ABOUT TO EXPLODE!,"I don't know what to do with my life, but I do know that I'm going to have to live with the consequences of my actions."
A Face in the Crowd,['drama'],"POWER! He loved it! He took it raw in big gulpfuls...he liked the taste, the way it mixed with the bourbon and the sin in his blood!",A Face in the Crowd chronicles the rise of a raucous hayseed named Lonesome Rhodes from itinerant Ozark guitar picker to
"Not For, or Against (Quite the Contrary)","['drama', 'crime']",The wrong path is often the best.,"I don't know what to do, but I do know that I'm going to be in a hell of a lot worse than I thought I'd be"
Proof,"['drama', 'mystery']",The biggest risk in life is not taking one.,This is the story of a young woman who has to deal with her father's mental illness in order to save her life.
Korengal,['documentary'],This is what war feels like,"This is the story of a young man who, in the middle of the war, decides to take up arms to fight for his country."
Dangerous Money,"['crime', 'mystery']",One of Chan's Most Terrifying Cases!,I'm the only one in the world who can do it.
Circus World,"['western', 'drama']",John Wayne Wild Across the World!,"I don't know what I'm going to do with my life, but I do know that I want to be a circus owner."
The Hippopotamus,['comedy'],A beast of a comedy.,"I don't know what to do with my life, but I can't help but think of a way to make it work."
Frankenweenie,"['comedy', 'family']",A comic twist on a classic tail!,"I don't know what to do, but I do know that I can do it, and that's the only way I know how to live."
Four Rooms,"['crime', 'comedy']","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments.
About a Boy,"['drama', 'comedy', 'romance']",One ordinary couple. One little white lie.,"I don't know what to do with my life, but I do know that I'm not the only one who has to deal with it."
Old Fashioned: The Story of the Wisconsin Supper Club,"['documentary', 'history']",A new documentary on an old fashioned tradition,This is the story of the Wisconsin Supper Club.
The Lady in the Car with Glasses and a Gun,['drama'],Her first mistake was getting into the car.,Dany is a young woman who has no idea what she is going to do with her life.
Dead Snow 2: Red vs. Dead,"['horror', 'action', 'comedy']",Heads up. They're back.,"I am the only one who can save the world, and I will do it for you."
Empire Falls,"['drama', 'romance']",Every small town has a big story,"I'm the only one who knows what's going on in the world, and I don't know what to do about it."
Air Bud: Seventh Inning Fetch,"['comedy', 'drama', 'family']",He's A Natural Baseball Player With Major League Talent!,"I don't know what to do with my life, but I do know that I'm not the only one in the world who can do it."
The Yankles,['comedy'],They Came. They Prayed. They Played!,"It's not the first time he's been in a relationship with a woman, but it's the second time."
Super Stooges vs the Wonder Women,"['action', 'adventure', 'science fiction', 'comedy', 'fantasy']",Three men with supernatural powers interfere in a tribal warfare to prevent evil Amazons destroying the inhabitants of a village.,"I don't know what to do with my life, but I do know that I'm going to have to live with it."
Torture Garden,['horror'],Do You Dare See What Dr. Diabolo Sees?,I am a man of the people.
The Secret of NIMH,"['fantasy', 'animation', 'drama', 'family']",Right before your eyes and beyond your wildest dreams.,"It's not the end of the world, it's the beginning of a new world."
The Dukes,"['comedy', 'crime', 'drama', 'music']","The music was then , the time is now","The Dukes,a Doo Wop group, are on top of the world at 17, now are struggling for survival in 2008."
Field of Dreams,"['drama', 'fantasy']","If you believe the impossible, the incredible can come true.","I don't know what to do, but I do know that I'm not going to be able to get out of this place."
Ferocious Planet,"['adventure', 'action', 'thriller', 'science fiction']",They're Not on Earth Anymore.,"This is the story of a young man who, in a desperate attempt to find his way back to his family, finds himself in the middle of an alien invasion"
Half Moon Street,['drama'],"Dr. Lauren Slaughter, professor, emissary, hooker, target.","I don't know what to do with my life, but I do know that I'm not the only one in the world who thinks that way."
The World Is Not Enough,"['adventure', 'action', 'thriller']",As the countdown begins for the new millennium there is still one number you can always count on.,I'm not a bad guy.
Life,"['horror', 'science fiction', 'thriller']",Be careful what you search for,I am the only one who has the power to change the world.
Tracks,"['crime', 'drama']",His life began a dead end.,'Tracks' is based on the true-story of a middle class white suburban teenagers who unknowingly committed a senseless act of violence in July of 1982.
The Carey Treatment,"['crime', 'mystery', 'thriller']",Peter Carey M.D.: arrives from the coast - finds hypocrisy in a big Boston hospital - and a brilliant surgeon accused of abortion that turns to murder.,"I'm not a bad guy, I'm a good guy."
Feast,"['animation', 'comedy', 'drama', 'family']",Pet is not just a pet,"This is the story of one man's love life as seen through the eyes of his best friend and dog, Winston, and revealed bite by bite through their meals"
Bonnie's Kids,"['action', 'drama', 'crime']",They Were Born Innocent ... But They Didn't Stay That Way.,"I don't know what to do with my life, but I do know that it's not going to be easy for me to live it."
Virgin Witch,['horror'],Every man was hers to command,I don't know what to do.
Victim,['drama'],Their future was menaced by the past,"If you don't like it, you're not going to be able to do anything about it."
The Outlaw Josey Wales,"['drama', 'western']",...an army of one.,I don't want to live in a world where I have to go to the police.
Gambling House,['crime'],Here comes Mature !,I'm the only one in the world that can be a good person.
Live Free or Die Hard,"['action', 'thriller']",The old school cop is back!,This is the first in a series of short stories about the rise of the Internet.
