Title,Original,Generated
Now and Then,In every woman there is the girl she left behind.,Sometimes you just have to look past your past to find your future.
The City of Lost Children,Where happily ever after is just a dream.,You can't control your dreams.
Shanghai Triad,In 1930's Shanghai violence was not the problem. It was the solution.,He's the only one who knows how to make money.
Dangerous Minds,She broke the rules... and changed their lives.,She's the only one who knows what it takes to be a good student.
Twelve Monkeys,The future is history.,It's not just a virus...
Babe,A little pig goes a long way.,He's the best pig in town.
Carrington,A Love so Unusual it has to be True,A portrait of a man who was loved by everyone but himself.
It Takes Two,Two identical strangers. Two different worlds. One perfect match.,The story of a boy who was raised by two different parents.
Clueless,Sex. Clothes. Popularity. Is there a problem here?,You can't have too many girls.
Richard III,"I can smile, and murder while I smile",This is the story of a man who made the greatest play of all time...and a woman who became the most famous woman in all of literature.
Dead Presidents,"In this daring heist, the only color that counts is green",The story of a generation of young people who fought for the right to vote and the fight for justice and equality in America.
Mortal Kombat,Nothing In This World Has Prepared You For This.,Fight for your life.
To Die For,All she wanted was a little attention.,"A comedy about a woman who has it all, and a man who just doesn't know it yet."
How To Make An American Quilt,There's beauty in the patterns of life.,It's not easy to be a good friend.
Se7en,Seven deadly sins. Seven ways to die.,Seven Deadly Sins.
Pocahontas,An American legend comes to life.,"A story of love, adventure, betrayal and the power of true love."
The Usual Suspects,Five Criminals. One Line Up. No Coincidence.,He's the only one who knows the truth.
Guardian Angel,She's no angel of mercy.,It's all in the name of justice...
The Big Green,The biggest kick of the year!,It's not easy being a child in the middle of the night...
Georgia,The toughest act to follow was their dreams.,She's got it all.
Home for the Holidays,We'll do it every year..until we get it right,It's Christmas Eve and you can't go wrong with the best of friends.
Eye for an Eye,What do you do when justice fails?,Justice is the only thing that can save us all.
Mr. Holland's Opus,"Of All the Lives He Changed, the One That Changed the Most Was His Own.",It's not a matter of whether you're rich or poor.
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.",It's not easy being a brother in the middle of the woods...it's even harder when you're the one who can't stop it...and that's
Two If by Sea,"A new comedy about love, laughter, and larceny","It's not going to be easy, but it will be worth it."
Bio-Dome,Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,You can't save the world if you're not in it.
Lawnmower Man 2: Beyond Cyberspace,"God made him simple. Science made him a god. Now, he wants revenge.",It's not a game...
Two Bits,You're never too old to believe in a dream. Or too young to make one come true!,"When you're young, you don't have time to think about what you want to do with your life."
Friday,A lot can go down between thursday and saturday...,They're the best in the business.
From Dusk Till Dawn,One night is all that stands between them and freedom. But it's going to be a hell of a night.,There's no escape from the law...
Fair Game,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,The most dangerous cop in the world is back.
Kicking and Screaming,Anxiety loves company.,"A comedy about a guy who has it all, including a girlfriend, a career, and the love of a lifetime."
Les Miserables,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.",The story of one man's journey into the world of literature.
Bed of Roses,He gave her flowers. She gave him a chance.,Love is the most powerful weapon in a man's mind.
Big Bully,A comedy for the kid in all of us.,Sometimes you have to fight for what you believe in to win.
Screamers,The last scream you hear will be your own.,They're the only thing standing between us and the end of the world.
The Crossing Guard,"...some lives cross, others collide.",He's not dead...
The Juror,There is no defense.,It's not a game...
Things to Do in Denver When You're Dead,Protect. Love. Honor. Avenge.,The Man With The Plan is back!
Antonia's Line,A motion picture that celebrates everything you love about life.,She was born to be a woman.
Angels and Insects,An elegant seduction. An erotic deception. A stunning revelation.,The story of a man and a woman who became lovers...and then fell in love...again...with the same woman...the same man...until one night
Dunston Checks In,He's about to turn a Five Star Hotel into a three ring circus.,"A comedy about a man who has it all, including the love of his life, a wife who loves her husband but doesn't know it yet..."
Black Sheep,There's one in every family.,It's a race to the finish line...
Mary Reilly,The untold story of Jekyll and Hyde,He's the only one who can save us all...
Vampire in Brooklyn,A comic tale of horror and seduction.,She's the only one who knows what it's like to be a vampire.
Beautiful Girls,"Good times never seemed so good,",Sometimes you have to fight for your life to be worth fighting for.
Broken Arrow,Prepare to Go Ballistic.,The most dangerous man on the planet is back...
A Midwinter's Tale,The drama. The passion. The intrigue... And the rehearsals haven't even started.,"It's Christmas Eve, and it's about to get a whole lot more complicated than you've ever dreamed it would be."
La Haine,Three Young Friends... One Last Chance.,"The story of love, hate, hatred, fear, terror and the love of the people who made it all possible."
Shopping,No one leaves without paying...,The game is on.
City Hall,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,You can't escape your past.
Bottle Rocket,"They're not really criminals, but everyone's got to have a dream.",He's the only one who knows how to get out of jail.
Unforgettable,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.,There's only one way to get rid of a murderer...
Happy Gilmore,He doesn't play golf... he destroys it.,It's a game you can't win.
The Bridges of Madison County,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,She was the most beautiful woman ever to walk the streets of New York City.
Muppet Treasure Island,Set sail for Muppet mayhem!,The adventure of a lifetime...
Catwalk,"The moment when fashion, art and entertainment come together with stunning force and beauty.",The most photographed fashion show of all time.
Braveheart,Every man dies. Not every man truly lives.,The story of one man's battle against the fury of his enemies.
Taxi Driver,"On every street in every city, there's a nobody who dreams of being a somebody.",You can't escape your past.
Rumble in the Bronx,No Fear. No Stuntman. No Equal.,He's the only one who knows how to get out of a bad situation.
Before and After,A murder. A suspect. A shadow of a doubt.,The story of a father and a son who are at odds with each other and who must find a way to work together in order to save their daughter's life
Margaret's Museum,She found a way to preserve her memories forever.,She's the only woman on earth who can make it all the way to heaven.
Anne Frank Remembered,"She is perhaps Hitler's best known victim, but what was Anne Frank really like?",The most authentic story ever told about the true story behind the greatest tragedy of our time.
If Lucy Fell,A comedy for the romantically challenged.,"A comedy about love, sex, friendship and the best way to get out of bed at night..."
Steal Big Steal Little,Two brothers. One fortune. Zero chance they'll share it.,"Retrieved Overview 1: When the local police inspector was found dead in a prostitute's house, police division commissioner Stan Borowitz is sent to investigate the situation."
Race the Sun,A dream can make all the difference under the sun.,It's a race to the finish line...
Boomerang,A Player Who's About to be Played.,Sometimes you have to change your life to make it right.
Chungking Express,What a difference a day makes,Sometimes you have to do the impossible to get what you want.
The Star Maker,"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true...",It's not a film you see on the screen.
Flirting with Disaster,"A comedy about sex, love, family and other accidents waiting to happen.",The story of one man's search for the perfect family...and the one family he never knew he had...
The Neverending Story III: Escape from Fantasia,It's a brand new beginning in the adventure that never ends,"It's not just a book, it's a magic book."
Jupiter's Wife,A Haunting Real Life Mystery,The story of a woman who has it all.
Pie in the Sky,The only thing that stands in the way of fate and true love is a little traffic.,It's a love story that's about to get a whole lot more complicated...
Frankie Starlight,Sometimes the brightest star is the one that shines within.,Sometimes you have to fight for what you believe in to be worth fighting for something you really don't have.
Jade,Some fantasies go too far.,It's not easy to be a bad cop...
Down Periscope,"A rusty sub. A rebel commander. A renegade crew. When destiny called, they should have hung up.",He's the only one who can stop the war.
