Title,Original,Generated
Lawnmower Man 2: Beyond Cyberspace,"God made him simple. Science made him a god. Now, he wants revenge.","The world is about to be invaded by a new kind of hacker."""
Two Bits,You're never too old to believe in a dream. Or too young to make one come true!,"The story of a boy who dreams of becoming a movie star."""
Friday,A lot can go down between thursday and saturday...,"It's the weekend before Christmas, and they're going to have to make a"
From Dusk Till Dawn,One night is all that stands between them and freedom. But it's going to be a hell of a night.,"It's not just about the money... it's about life."""
Fair Game,He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,A cop with a gun. A killer with no conscience. And a killer who
Kicking and Screaming,Anxiety loves company.,"The story of a man who has to choose between life and love."""
Les Miserables,"In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.",The story of a man whose life was changed forever by the love of his life
Bed of Roses,He gave her flowers. She gave him a chance.,"A fairy tale about love, friendship, and the power of the heart."""
Big Bully,A comedy for the kid in all of us.,"The story of a man who lived his life to the fullest."""
Screamers,The last scream you hear will be your own.,"The only thing more deadly than a screamer is a killer."""
The Crossing Guard,"...some lives cross, others collide.","A comedy about life, death, love and the power of friendship."""
The Juror,There is no defense.,"It's not murder... it's murder in the streets."" [IMDb]"
Things to Do in Denver When You're Dead,Protect. Love. Honor. Avenge.,"The Man With The Plan is back!"""
Antonia's Line,A motion picture that celebrates everything you love about life.,The story of a mother and a daughter who are both determined to make a difference
Angels and Insects,An elegant seduction. An erotic deception. A stunning revelation.,"It's not what you think it is, it's how you feel."""
Dunston Checks In,He's about to turn a Five Star Hotel into a three ring circus.,"A comedy about a guy who's just got to get over it."""
Black Sheep,There's one in every family.,"It's a race to the bottom."""
Mary Reilly,The untold story of Jekyll and Hyde,"It's not what you think it is, it's how you feel."""
Vampire in Brooklyn,A comic tale of horror and seduction.,"She's the only one who can save the world."""
Beautiful Girls,"Good times never seemed so good,","Sometimes the only thing you can control is yourself."""
Broken Arrow,Prepare to Go Ballistic.,"The only way out is to get out of the way."""
A Midwinter's Tale,The drama. The passion. The intrigue... And the rehearsals haven't even started.,"It's Christmas Eve and Joe's got to save the day."""
La Haine,Three Young Friends... One Last Chance.,"The story of two Jews, two Arabs, one French, who are forced to"
Shopping,No one leaves without paying...,"There's no such thing as a free-for-all."""
City Hall,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,"There's no such thing as a safe place to be."""
Bottle Rocket,"They're not really criminals, but everyone's got to have a dream.","He's back... and he's not going to stop until he gets out."""
Unforgettable,He loved her. He lost her. He won't let her memory die... until it tells him who killed her.,"The truth is stranger than fiction."""
Happy Gilmore,He doesn't play golf... he destroys it.,It's a game of life and death. It takes a lot of guts to
The Bridges of Madison County,The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,A portrait of a woman whose life was changed forever by the love of her life
Muppet Treasure Island,Set sail for Muppet mayhem!,"It's not just a story. It has to be told."""
Catwalk,"The moment when fashion, art and entertainment come together with stunning force and beauty.","She's the hottest girl in the world. And she's got it all."""
Braveheart,Every man dies. Not every man truly lives.,"The story of a man who fought his way to the top."""
Taxi Driver,"On every street in every city, there's a nobody who dreams of being a somebody.","It's not what you think, it's what the world thinks."""
Rumble in the Bronx,No Fear. No Stuntman. No Equal.,The story of a man who became a street hustler...and a woman who
Before and After,A murder. A suspect. A shadow of a doubt.,"It's not just a case of murder. It is a murder."""
Margaret's Museum,She found a way to preserve her memories forever.,"It's not just a place to live... it's a life."""
Anne Frank Remembered,"She is perhaps Hitler's best known victim, but what was Anne Frank really like?","A documentary about Anne Frank"""
If Lucy Fell,A comedy for the romantically challenged.,"A comedy about love, friendship, and life in the city."""
Steal Big Steal Little,Two brothers. One fortune. Zero chance they'll share it.,The story of two brothers. One is a cop. The other a gambler
Race the Sun,A dream can make all the difference under the sun.,"It's not just a race. It is a journey."""
Boomerang,A Player Who's About to be Played.,"It's not what you think it is, it's how you feel."""
Chungking Express,What a difference a day makes,"A comedy about love, sex, drugs, and the future."""
The Star Maker,"In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true...","It's not what you see, it's who you trust."""
Flirting with Disaster,"A comedy about sex, love, family and other accidents waiting to happen.","The story of a man who risked everything to save his family."""
The Neverending Story III: Escape from Fantasia,It's a brand new beginning in the adventure that never ends,"The world is about to get a little more magical."""
Jupiter's Wife,A Haunting Real Life Mystery,"The story of a young woman who discovers the power of love."""
Pie in the Sky,The only thing that stands in the way of fate and true love is a little traffic.,"A love story about love, romance, and the road to success."""
Frankie Starlight,Sometimes the brightest star is the one that shines within.,"It's a story about love, friendship, and being yourself."""
Jade,Some fantasies go too far.,"It's not just a crime... it's murder."""
Down Periscope,"A rusty sub. A rebel commander. A renegade crew. When destiny called, they should have hung up.","He's the only man on earth who can stop a nuclear war."""
