Title,Genre,Original,Generated
Ace Ventura: When Nature Calls,"['crime', 'comedy', 'adventure']",New animals. New adventures. Same hair.,This is the story of a group of young men who find themselves in the middle of an epic battle between the forces of evil and the people of the world.
Money Train,"['action', 'comedy', 'crime']","Get on, or GET OUT THE WAY!","""If you're going to be a good cop, you have to do it in a way that makes sense."
Get Shorty,"['comedy', 'thriller', 'crime']","The mob is tough, but it’s nothing like show business.","""I'm a mobster, but I'm not a gangster."
Copycat,"['drama', 'thriller']","One man is copying the most notorious killers in history one at a time. Together, two women must stop him from killing again. Or they're next.","""It's time to get rid of the bad guys, and the good guys are going to kill us all."" The film follows a group of young men who"
Assassins,"['action', 'adventure', 'crime', 'thriller']","In the shadows of life, In the business of death, One man found a reason to live...","""If you want to be a man, you have to live in a world where you're not allowed to kill people."
Powder,"['drama', 'fantasy', 'science fiction', 'thriller']",An extraordinary encounter with another human being.,"""I'm not afraid of death, but I'm scared of the unknown."""
Leaving Las Vegas,"['drama', 'romance']",I Love You... The Way You Are.,"""It's not about the money, it's about love."
Othello,['drama'],"Envy, greed, jealousy and love.",The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.
Now and Then,"['comedy', 'drama', 'family']",In every woman there is the girl she left behind.,"This is the story of a young girl who was raised by a single mother and raised in a loving, loving home."
The City of Lost Children,"['fantasy', 'science fiction', 'adventure']",Where happily ever after is just a dream.,"""I'm a scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.""The story of a group of"
Shanghai Triad,"['drama', 'crime']",In 1930's Shanghai violence was not the problem. It was the solution.,"""If you can't make it to the top, you're not going to be able to get there."" The film is based on the novel of the same"
Dangerous Minds,"['drama', 'crime']",She broke the rules... and changed their lives.,"""If you want to make a difference, you have to do it right."
Twelve Monkeys,"['science fiction', 'thriller', 'mystery']",The future is history.,"In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the"
Babe,"['fantasy', 'drama', 'comedy', 'family']",A little pig goes a long way.,Babe is a little pig who doesn't quite know his place in the world.
Carrington,"['history', 'drama', 'romance']",A Love so Unusual it has to be True,The story of the relationship between painter Dora Carrington and author Lytton Strachey in a World War One England of cottages and countryside.
It Takes Two,"['comedy', 'family', 'romance']",Two identical strangers. Two different worlds. One perfect match.,"""It's not about the money, it's about who you are and what you want to do with your life."" Alyssa's father, Roger,"
Clueless,"['comedy', 'drama', 'romance']",Sex. Clothes. Popularity. Is there a problem here?,"""I don't know what to do with my life."
Richard III,"['drama', 'war']","I can smile, and murder while I smile","Shakespeare's Play is a play about the life of a young man who has lost his father, his mother, and his best friend."
Dead Presidents,"['action', 'crime', 'drama', 'history']","In this daring heist, the only color that counts is green",This is the story of a group of young black men who find themselves in the middle of the Vietnam War.
Mortal Kombat,"['action', 'fantasy']",Nothing In This World Has Prepared You For This.,"""If you want to be a hero, you have to fight for what you believe in."
To Die For,"['fantasy', 'drama', 'comedy', 'thriller']",All she wanted was a little attention.,"""If you want to be a good person, you have to work hard."
How To Make An American Quilt,"['drama', 'romance']",There's beauty in the patterns of life.,"""It's not about the money, it's about who you are and what you do."
Se7en,"['crime', 'mystery', 'thriller']",Seven deadly sins. Seven ways to die.,"""If you're going to be a good cop, you have to do the right thing."
Pocahontas,"['adventure', 'animation', 'drama', 'family']",An American legend comes to life.,Pocahontas is a Native American woman whose father has arranged for her to marry her village's best warrior.
The Usual Suspects,"['drama', 'crime', 'thriller']",Five Criminals. One Line Up. No Coincidence.,"This is the story of a young man who has lost his father, his mother, and his best friend in a tragic accident."
Guardian Angel,"['action', 'thriller', 'drama']",She's no angel of mercy.,This is the story of a young girl who has lost her virginity to a man who wants her to be his wife.
The Big Green,"['action', 'adventure', 'comedy', 'family']",The biggest kick of the year!,This is the story of a group of young men who go on a mission to save the world from the evil forces of evil.
Georgia,['drama'],The toughest act to follow was their dreams.,"""I don't know what to do with my life, but I know how to live with it."
Home for the Holidays,"['comedy', 'drama', 'romance']",We'll do it every year..until we get it right,"""I don't know what I'm going to do with my life, but I do know that I have to find a way to live with it."
Eye for an Eye,"['drama', 'thriller']",What do you do when justice fails?,It's fire and brimstone time as grieving mother Karen McCann takes justice into her own hands when a kangaroo court in Los Angeles fails to convict Robert Do
Mr. Holland's Opus,"['music', 'drama', 'family']","Of All the Lives He Changed, the One That Changed the Most Was His Own.","""I want to write a book about the life and work of Glenn Holland."
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,['comedy'],"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.","""I don't know what to do with my life, but I do know that it's not going to be a happy one."
Two If by Sea,"['comedy', 'romance']","A new comedy about love, laughter, and larceny",This is the story of a young man who has lost all hope of finding his way back home to his family.
Bio-Dome,['comedy'],Bud and Doyle are here to save the world. But who's gonna save the world from Bud and Doyle?,This is the story of a group of scientists who are trying to save the planet from a dangerous alien invasion.
Lawnmower Man 2: Beyond Cyberspace,"['action', 'science fiction']","God made him simple. Science made him a god. Now, he wants revenge.","Jobe is a hacker who wants to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use"
Two Bits,"['drama', 'family']",You're never too old to believe in a dream. Or too young to make one come true!,"It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa"
Friday,['comedy'],A lot can go down between thursday and saturday...,"""I'm the only one who knows what it's like to be in the middle of the night, and I'm not going to let you down."""
From Dusk Till Dawn,"['horror', 'action', 'thriller', 'crime']",One night is all that stands between them and freedom. But it's going to be a hell of a night.,"""It's not about the money, it's about what you do with it."
Fair Game,"['action', 'thriller', 'romance']",He's a cop on the edge. She's a woman with a dangerous secret. And now they're both...,"""I don't know what I'm going to do with my life, but I do know that I want to be a good cop, and that's what"
Kicking and Screaming,"['comedy', 'drama', 'romance']",Anxiety loves company.,"""If you're going to be a good student, you have to work hard."
Les Miserables,"['drama', 'history']","In a time of chaos, in a world of change, he was moved by a book he could not read to become a hero he never imagined.","""It's not just a book, it's a life."
Bed of Roses,"['drama', 'romance']",He gave her flowers. She gave him a chance.,"The seeds of love are planted when Lisa, a high-powered investment banker, receives flowers from a secret admirer."
Big Bully,"['comedy', 'family']",A comedy for the kid in all of us.,"""I'm not going to let this happen to me."
Screamers,"['horror', 'science fiction']",The last scream you hear will be your own.,"(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a"
The Crossing Guard,"['drama', 'thriller']","...some lives cross, others collide.",This is the story of a young man who is forced to make a choice between his own life and the lives of his friends and family.
The Juror,"['drama', 'thriller']",There is no defense.,"""If you don't believe me, you're going to have to listen to me.""A young girl is kidnapped by a group of gangsters and forced to"
Things to Do in Denver When You're Dead,"['drama', 'crime']",Protect. Love. Honor. Avenge.,“The Man with the Plan” is a film about the life and work of a man with a plan to save the world.
Antonia's Line,"['drama', 'comedy']",A motion picture that celebrates everything you love about life.,This is the story of a young girl who goes on a mission to save the world from the evil forces of evil.
Angels and Insects,"['drama', 'romance']",An elegant seduction. An erotic deception. A stunning revelation.,This is the first in a series of short films about the life and work of one of the world's most famous scientists.
Dunston Checks In,"['adventure', 'comedy', 'family']",He's about to turn a Five Star Hotel into a three ring circus.,This is the first in a series of short films about the life and work of a man who has spent his entire life fighting for the rights to his name.
Black Sheep,['comedy'],There's one in every family.,"""I don't know what to do with my life, but I do know that I'm going to have to live with it."""
Mary Reilly,"['drama', 'horror', 'thriller', 'romance']",The untold story of Jekyll and Hyde,A housemaid falls in love with Dr.
Vampire in Brooklyn,"['comedy', 'horror', 'romance']",A comic tale of horror and seduction.,"""I'm not a vampire, I'm a human being."
Beautiful Girls,"['comedy', 'drama', 'romance']","Good times never seemed so good,","""It's not about the money, it's about how you feel about it."
Broken Arrow,"['action', 'adventure', 'drama', 'thriller']",Prepare to Go Ballistic.,"""I don't know what to do with my life, but I do know that I'm going to have to live with it for the rest of my days"
A Midwinter's Tale,['comedy'],The drama. The passion. The intrigue... And the rehearsals haven't even started.,"""I don't know what to do, but I know I can do it."
La Haine,['drama'],Three Young Friends... One Last Chance.,"""I'm a Jew, African, and an Arab, but I don't want to live in a ghetto."
Shopping,"['action', 'adventure', 'drama', 'science fiction', 'thriller']",No one leaves without paying...,"A dark, hip, urban story of a barren and anonymous city where the underclass' sport of choice is ram-raiding."
City Hall,"['drama', 'thriller']",It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,"""It's not about the money, it's about what's in it."
Bottle Rocket,"['comedy', 'crime', 'drama']","They're not really criminals, but everyone's got to have a dream.","""If you're going to do something, you gotta do it right."
Unforgettable,"['drama', 'mystery', 'science fiction', 'thriller']",He loved her. He lost her. He won't let her memory die... until it tells him who killed her.,"This is the story of a man who has lost everything, but who is still trying to find his way back to his true self."
Happy Gilmore,['comedy'],He doesn't play golf... he destroys it.,"""I don't know what to do with my life, but I do know that I'm going to have to live with the consequences of my actions."""
The Bridges of Madison County,"['drama', 'romance']",The path of Francesca Johnson's future seems destined due to an unexpected fork in the road...,"""It's not about the money, it's about love."
Muppet Treasure Island,"['action', 'comedy', 'music', 'family', 'adventure']",Set sail for Muppet mayhem!,"This is the story of Jim Hawkins, a young man who has lost his father, his mother, and his best friend."
Catwalk,['documentary'],"The moment when fashion, art and entertainment come together with stunning force and beauty.","""I don't know what to do with my life, but I do know that I'm going to have to live with it."
Braveheart,"['action', 'drama', 'history', 'war']",Every man dies. Not every man truly lives.,"""It's time to go back to the land of the free, the brave, and the hard-working."" The film follows a group of young men who"
Taxi Driver,"['crime', 'drama']","On every street in every city, there's a nobody who dreams of being a somebody.","""If you're going to be a good person, you have to do what's best for the people around you."
Rumble in the Bronx,"['crime', 'action', 'comedy', 'thriller']",No Fear. No Stuntman. No Equal.,Keong and Uncle are the only two people in the world who know each other.
Before and After,"['drama', 'thriller']",A murder. A suspect. A shadow of a doubt.,Two parents deal with the effects when their son is accused of murdering his girlfriend.The story of a young boy who is sent to a boarding school where he is
Margaret's Museum,['drama'],She found a way to preserve her memories forever.,"In a town where half the men die down the coalpit, Margaret MacNeil is quite happy being single in her small Cape Breton island town."
Anne Frank Remembered,"['documentary', 'drama', 'foreign']","She is perhaps Hitler's best known victim, but what was Anne Frank really like?","""It's time for a new generation of filmmakers to step up to the plate and make a difference in the lives of the people they love."""
If Lucy Fell,"['comedy', 'romance']",A comedy for the romantically challenged.,Joe and Lucy are roommates and best friends.
Steal Big Steal Little,"['comedy', 'drama']",Two brothers. One fortune. Zero chance they'll share it.,"""If you want to be a good person, you have to do what's right for you."
Race the Sun,"['action', 'adventure', 'comedy', 'drama', 'family']",A dream can make all the difference under the sun.,"""It's not just about the sun, it's about all of us."" The film follows a group of high school students as they try to build a solar"
Boomerang,"['comedy', 'romance']",A Player Who's About to be Played.,"""I don't know what to do with my life."
Chungking Express,"['drama', 'comedy', 'romance']",What a difference a day makes,"""I don't know what to do with my life, but I do know that I'm going to have to deal with it."
The Star Maker,"['drama', 'romance']","In the golden age of cinema, everyone dreams of becoming a star. One man promises to make all their dreams come true...","""I'm a photographer, but I don't know what I'm going to do with my life."
Flirting with Disaster,"['comedy', 'romance']","A comedy about sex, love, family and other accidents waiting to happen.","""I'm not going to lie to you."
The Neverending Story III: Escape from Fantasia,['fantasy'],It's a brand new beginning in the adventure that never ends,A young boy must restore order when a group of bullies steal the magical book that acts as a portal between Earth and the imaginary world of Fantasia.A young
Pie in the Sky,"['comedy', 'romance']",The only thing that stands in the way of fate and true love is a little traffic.,Pie in the Sky is a 1996 American romantic comedy film about a young man obsessed with traffic gridlock who falls in love with an avant-garde dancer
Frankie Starlight,"['drama', 'romance', 'war']",Sometimes the brightest star is the one that shines within.,"""If you're going to have a good time, don't be afraid to go out and have fun."""
Jade,"['action', 'thriller', 'mystery', 'romance']",Some fantasies go too far.,Someone does a nasty hatchet job on a San Fransisco big noise and the Assistant D.A.
Down Periscope,['comedy'],"A rusty sub. A rebel commander. A renegade crew. When destiny called, they should have hung up.","This is the story of a young man who, after his father's death, decided to take his own life in order to save his mother's life."
Man of the Year,['comedy'],He as a centerfold who revealed everything ... but the truth.,"""I'm a gay man, and I'm not going to let anyone tell me what to do with my life."
