Title,Genre,Original,Generated
Fear and Desire,"['drama', 'history']",Trapped... 4 Desperate Men and a Strange Half-Animal Girl!,The story of a group of young men who find themselves in the midst of an alien invasion.
Lord of War,"['crime', 'drama', 'thriller']","Where there's a will, there's a weapon","The story of a young man who, in a desperate attempt to find his way back to the real world, is forced to make the difficult decision of whether to"
Blackout,"['horror', 'thriller']",His obsession would become her nightmare.,The story of a young man who is sent back in time to the past.
The French Connection,"['action', 'crime', 'thriller']",There are no rules and no holds barred when Popeye cuts loose!,The story of a young man who is the only person in his life who has the power to change the course of the world.
You Will Be Mine,"['music', 'drama']",You Will Be Mine,It's the end of the world.
Superstar,"['comedy', 'family']",Dare to dream.,She'll be back.
Judge Dredd,['science fiction'],"In the future, one man is the law.",The story of a young man who discovers the truth about his past.
Bugsy Malone,"['drama', 'action', 'comedy', 'music', 'family']",Every year brings a great movie. Every decade a great movie musical!,It's time to go to bed.
Stolen,"['action', 'crime', 'drama', 'thriller']",Never steal from the world's greatest thief.,The story of a young man who is a serial killer.
Killer Force,"['action', 'thriller']",They were professionals who killed for hire. But the man who hunted them killed for pleasure!,He's the one who stole the diamond.
The Story of Mankind,"['drama', 'fantasy']",Explorer... Warrior... Dreamer!,The story of a young man who finds himself in the midst of the world's greatest tragedy.
Hilary and Jackie,"['music', 'drama']",Two sisters. Two lives. One Love...,The story of a young girl who has been in a coma for the past two years.
Interstellar,"['adventure', 'drama', 'science fiction']",Mankind was born on Earth. It was never meant to die here.,The story of a group of scientists who travel to a distant planet in search of an alien artifact.
Pecker,['comedy'],He never realized how far 35 millimeters would take him.,He'll be back.
The Waterdance,['drama'],"Sometimes, life happens by accident.","This is a film about a troubled teen, Sean Randall, who is falsely accused of planning a Columbine shooting scenario."
Apache Rifles,['western'],The Cry Was Revenge - And One Man Vowed to Stop the Bloodshed of Two Warring Nations!,He'll be back.
Captain Horatio Hornblower R.N.,"['war', 'action', 'adventure', 'drama']",The sun never sets on his world of adventure.,The story of a group of young men who are sent on a mission to rescue a young girl from the clutches of their captors.
Captivity,"['crime', 'horror', 'thriller']",When You Think The Worst Has Happened... Think Worse,"This is the story of a young woman who, in the wake of her mother's death, is forced to make a decision that will change her life.A"
Young Sherlock Holmes,"['action', 'adventure', 'crime', 'drama', 'family', 'mystery', 'thriller']","Before a lifetime of adventure, they lived the adventure of a lifetime.",Sherlock Holmes and Dr.
A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,"['animation', 'documentary']","Still Dead, And Now in 3D","This is the story of a young man who has lost his father, his mother, and his best friend."
Google Me,['documentary'],It all started when i Googled my name.,This is the first in a series of short films about the life and work of a young man who was raised by his mother and father.
Gasland,['documentary'],Can you light your water on fire?,It's the end of the world.
That Thing You Do!,"['comedy', 'drama']",In every life there comes a time when that dream you dream becomes that thing you do.,He'll be back.
Awake,"['thriller', 'crime', 'mystery']","Every year, one in 700 people wake up during surgery.",He'll be back.
Find Me,['horror'],Some secrets should stay hidden,It's a game of hide and seek with a vengeful spirit.
Safe Men,"['comedy', 'crime']",Welcome to the world of disorganised crime.,It's time to go back in time.
The Greek Tycoon,['drama'],"She was the most famous woman in the world. He was a peasant, a pirate, a shark. What he couldn't buy with money he stole with charm.",He'll be back.
Bluebird,['drama'],"Merel, a talented young girl, is suddenly getting bullied at school.",Merel is a young girl with a lot of talent.
Race,"['drama', 'action', 'thriller', 'crime']",Two Brothers... One Plays to Win... One Plays to Defeat,"woman is murdered, and a young man is killed."
A Time for Killing,['western'],Two violent men... and a violated woman!,"The war has ended, but not for Jonas, a ruthless Confederate officer who wants to continue the fight by reorganizing Confederate troops in the Southwest with the support of"
The Brave One,"['crime', 'drama', 'thriller']",How many wrongs to make it right?,A young man and a young woman are on a mission to find a way to save the world.
Smiling Fish & Goat On Fire,"['comedy', 'romance']","two brothers, four women and the search for Magnetic Perfection",He'll be back.
Maximum Ride,"['action', 'adventure', 'comedy', 'fantasy', 'science fiction', 'thriller']",Welcome To Her Nightmare,A young boy and his family embark on a series of adventures when the boy finds some mysterious eggs which hatch to reveal a brood of baby dinosaurs.Retrieved Overview
Better Than Chocolate,"['drama', 'romance']",A delicious romantic comedy.,It's not the first time Maggie has been in a relationship with a man.
Planet of the Vampires,"['science fiction', 'horror']",This was the day the universe trembled before the demon forces of the killer planet!,"In the distant future, a group of scientists from the University of California, Berkeley, and the U.S."
Fearless,['drama'],Some people are afraid of nothing.,I'm a man.
The Silent World,['documentary'],Out of an uncharted universe - comes an experience of unearthly beauty...,This is the story of a young man and his family.
Ten Seconds to Hell,"['romance', 'drama', 'war', 'action']",BLOCKBUSTER ABOUT TO EXPLODE!,One of the world's most notorious serial killers is caught in the crossfire.
A Face in the Crowd,['drama'],"POWER! He loved it! He took it raw in big gulpfuls...he liked the taste, the way it mixed with the bourbon and the sin in his blood!","Lonesome is a young woman who is in the midst of an affair with her ex-boyfriend, a man she has never met before."
"Not For, or Against (Quite the Contrary)","['drama', 'crime']",The wrong path is often the best.,Caty's life is in the hands of a man who has no idea what he's doing.
Proof,"['drama', 'mystery']",The biggest risk in life is not taking one.,"Catherine is a woman in her late twenties who is strongly devoted to her father, Robert, a brilliant and well-known mathematician whose grip on reality is beginning to"
Korengal,['documentary'],This is what war feels like,"In the midst of the war, a group of half-witted soldiers lead by a slightly smarter sergeant, battle the Germans and especially Von Kraut in the"
Dangerous Money,"['crime', 'mystery']",One of Chan's Most Terrifying Cases!,He'll be back.
Circus World,"['western', 'drama']",John Wayne Wild Across the World!,Matt Masters is in the middle of an epic battle with his ex-wife.
The Hippopotamus,['comedy'],A beast of a comedy.,He'll be back.
Frankenweenie,"['comedy', 'family']",A comic twist on a classic tail!,"When a car hits young Victor's pet dog Sparky, Victor decides to bring him back to life the only way he knows how."
Four Rooms,"['crime', 'comedy']","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.","This is the story of the clock-like movements of a giant, big city New Orleans hotel."
About a Boy,"['drama', 'comedy', 'romance']",One ordinary couple. One little white lie.,He'll be back.
Old Fashioned: The Story of the Wisconsin Supper Club,"['documentary', 'history']",A new documentary on an old fashioned tradition,The story of the Wisconsin Supper Club is a tale of a group of young men and women who were raised in a small town in the middle of nowhere.
The Lady in the Car with Glasses and a Gun,['drama'],Her first mistake was getting into the car.,I'm not the only one.
Dead Snow 2: Red vs. Dead,"['horror', 'action', 'comedy']",Heads up. They're back.,The final chapter of George A.
Empire Falls,"['drama', 'romance']",Every small town has a big story,"A young man and a young woman are on a road trip to a remote, remote town in the middle of the night."
Air Bud: Seventh Inning Fetch,"['comedy', 'drama', 'family']",He's A Natural Baseball Player With Major League Talent!,He'll be back.
The Yankles,['comedy'],They Came. They Prayed. They Played!,This is the story of a young Jewish boy who goes to a Jewish yeshiva baseball team to get a second chance at life and love by managing an orthodox
Super Stooges vs the Wonder Women,"['action', 'adventure', 'science fiction', 'comedy', 'fantasy']",Three men with supernatural powers interfere in a tribal warfare to prevent evil Amazons destroying the inhabitants of a village.,It's time for a change.
Torture Garden,['horror'],Do You Dare See What Dr. Diabolo Sees?,He'll be back.
The Secret of NIMH,"['fantasy', 'animation', 'drama', 'family']",Right before your eyes and beyond your wildest dreams.,"The story of a young man and his young wife, who have been separated for years."
The Dukes,"['comedy', 'crime', 'drama', 'music']","The music was then , the time is now","The Dukes,a Doo Wop group, were on top of the world at 17, now are struggling for survival in 2008."
Field of Dreams,"['drama', 'fantasy']","If you believe the impossible, the incredible can come true.",A young man in his mid-twenties finds himself in the midst of a life-or-death struggle with his family and friends.
Ferocious Planet,"['adventure', 'action', 'thriller', 'science fiction']",They're Not on Earth Anymore.,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality."
Half Moon Street,['drama'],"Dr. Lauren Slaughter, professor, emissary, hooker, target.","In the middle of the night, a group of young men in a small town in the south-east of England are attacked by a gang of thugs."
The World Is Not Enough,"['adventure', 'action', 'thriller']",As the countdown begins for the new millennium there is still one number you can always count on.,The world is on the brink of a nuclear holocaust.
Life,"['horror', 'science fiction', 'thriller']",Be careful what you search for,"The crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent"
Tracks,"['crime', 'drama']",His life began a dead end.,'Tracks' is based on the true-story of a middle class white suburban teenagers who unknowingly committed a senseless act of violence in July of 1982.
The Carey Treatment,"['crime', 'mystery', 'thriller']",Peter Carey M.D.: arrives from the coast - finds hypocrisy in a big Boston hospital - and a brilliant surgeon accused of abortion that turns to murder.,Dr.
Feast,"['animation', 'comedy', 'drama', 'family']",Pet is not just a pet,He'll be back.
Bonnie's Kids,"['action', 'drama', 'crime']",They Were Born Innocent ... But They Didn't Stay That Way.,I'm not a bad person.
Virgin Witch,['horror'],Every man was hers to command,It's not the first time Christine has been involved in a witch's coven.
Victim,['drama'],Their future was menaced by the past,A young man and a young woman are on the run from a group of thugs who are trying to steal their money.
The Outlaw Josey Wales,"['drama', 'western']",...an army of one.,He'll be back.
Gambling House,['crime'],Here comes Mature !,A young man's life is turned upside down when he has to make a decision.
Live Free or Die Hard,"['action', 'thriller']",The old school cop is back!,"John McClane is back and badder than ever, and this time he's working for Homeland Security."
