Title,Genre,Original,Generated
After the Fox,"['crime', 'comedy']","Watch your girl, guard your gold, hold your jewels ...the fox is loose!",'The Fox' is the latest in a long line of high-profile films that have been made in the United States.
Titan A.E.,"['animation', 'action', 'science fiction', 'family', 'adventure']","When Earth Ends, The Adventure Begins.",He'll be back.
Styx,"['action', 'crime', 'thriller']",They had the perfect plan. Just one thing was missing - Trust.,He'll be back.
Company Business,"['action', 'thriller']",You can't judge a man by the company that keeps him!,He'll be back.
King Creole,"['drama', 'action', 'music', 'romance']",Back on screen for the first time in a year!,I'm not going to let this happen to me.
His Kind of Woman,"['drama', 'romance', 'thriller']","They were two of a kind ! ...and bound to meet, but neither of them knew what such a meeting would mean!",I'm not a bad guy.
Schoolgirls in Chains,['horror'],They Were Abducted and Violated... but the Worse Was Yet to Come!,A young girl is kidnapped by a gang of gangsters who want to kill her.
Next Avengers: Heroes of Tomorrow,"['animation', 'family']",The children of heroes past are our only hope for the future!,The Avengers are on a mission to save the world.
Alone With Her,"['crime', 'drama', 'romance', 'thriller']",Anytime. Anywhere. He's watching.,The story of a young man's struggle to find his true self.
The Hired Hand,['western'],Peter Fonda is riding again... To the woman he lost ... for the revenge he craves!,I'm not sure what to do with my life.
Fear and Desire,"['drama', 'history']",Trapped... 4 Desperate Men and a Strange Half-Animal Girl!,A young girl is kidnapped by a group of aliens who want to take her back to the United States.
Lord of War,"['crime', 'drama', 'thriller']","Where there's a will, there's a weapon",Yuri Orlov is a man of the people.
Blackout,"['horror', 'thriller']",His obsession would become her nightmare.,A serial killer is strangling women with a necktie.
The French Connection,"['action', 'crime', 'thriller']",There are no rules and no holds barred when Popeye cuts loose!,"I'm not a drug dealer, I'm a cop."
You Will Be Mine,"['music', 'drama']",You Will Be Mine,Marie leaves home to study the piano at the conservatory in Lyons.
Superstar,"['comedy', 'family']",Dare to dream.,I want to be a star.
Judge Dredd,['science fiction'],"In the future, one man is the law.",He'll be back.
Bugsy Malone,"['drama', 'action', 'comedy', 'music', 'family']",Every year brings a great movie. Every decade a great movie musical!,It's time to go to the movies.
Stolen,"['action', 'crime', 'drama', 'thriller']",Never steal from the world's greatest thief.,He'll be back.
Killer Force,"['action', 'thriller']",They were professionals who killed for hire. But the man who hunted them killed for pleasure!,It's time to get out of here.
The Story of Mankind,"['drama', 'fantasy']",Explorer... Warrior... Dreamer!,He'll be back.
Hilary and Jackie,"['music', 'drama']",Two sisters. Two lives. One Love...,The story of a young woman who is trying to find her way back from the brink of death.
Interstellar,"['adventure', 'drama', 'science fiction']",Mankind was born on Earth. It was never meant to die here.,The story of a group of explorers who make use of the wormhole to conquer the vast distances involved in an interstellar voyage.
Pecker,['comedy'],He never realized how far 35 millimeters would take him.,This is the story of a young man who discovers that he's the only one who can change the world.
The Waterdance,['drama'],"Sometimes, life happens by accident.","This is a film about a troubled teen, Sean Randall, who is falsely accused of planning a Columbine shooting scenario."
Apache Rifles,['western'],The Cry Was Revenge - And One Man Vowed to Stop the Bloodshed of Two Warring Nations!,A young man and his wife are kidnapped by a group of bandits.
Captain Horatio Hornblower R.N.,"['war', 'action', 'adventure', 'drama']",The sun never sets on his world of adventure.,The story of a British naval officer who is sent on a mission to rescue a young girl from a shipwreck.
Captivity,"['crime', 'horror', 'thriller']",When You Think The Worst Has Happened... Think Worse,An intimate look at the women whose images have defined our sense of beauty over the past five decades.
Young Sherlock Holmes,"['action', 'adventure', 'crime', 'drama', 'family', 'mystery', 'thriller']","Before a lifetime of adventure, they lived the adventure of a lifetime.",Sherlock Holmes and Dr.
A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,"['animation', 'documentary']","Still Dead, And Now in 3D",It's time to get back to the real world.
Google Me,['documentary'],It all started when i Googled my name.,This is a documentary about the life and work of a man who spent his entire life trying to make the world a better place.
Gasland,['documentary'],Can you light your water on fire?,It's time for a revolution.
That Thing You Do!,"['comedy', 'drama']",In every life there comes a time when that dream you dream becomes that thing you do.,It's time for a new band.
Awake,"['thriller', 'crime', 'mystery']","Every year, one in 700 people wake up during surgery.",He'll be back.
Find Me,['horror'],Some secrets should stay hidden,It's a game of hide and seek.
Safe Men,"['comedy', 'crime']",Welcome to the world of disorganised crime.,A young man and his wife are on a mission to find a way out of their lives.
The Greek Tycoon,['drama'],"She was the most famous woman in the world. He was a peasant, a pirate, a shark. What he couldn't buy with money he stole with charm.",He'll be back.
Bluebird,['drama'],"Merel, a talented young girl, is suddenly getting bullied at school.",Merel is a young girl with a lot of talent.
Race,"['drama', 'action', 'thriller', 'crime']",Two Brothers... One Plays to Win... One Plays to Defeat,"woman is murdered, and Ranvir and Shaina are forced to face their own demons.The story is set in the early 1970s, when a group of"
A Time for Killing,['western'],Two violent men... and a violated woman!,It's time to get back to work.
The Brave One,"['crime', 'drama', 'thriller']",How many wrongs to make it right?,A young woman's life is turned upside down when she is attacked by a gang of gangsters.
Smiling Fish & Goat On Fire,"['comedy', 'romance']","two brothers, four women and the search for Magnetic Perfection","Tony and Kathy are in the middle of a divorce, and Tony is trying to figure out what to do with his life."
Maximum Ride,"['action', 'adventure', 'comedy', 'fantasy', 'science fiction', 'thriller']",Welcome To Her Nightmare,A young boy and his family embark on a series of adventures when the boy finds some mysterious eggs which hatch to reveal a brood of baby dinosaurs.
Better Than Chocolate,"['drama', 'romance']",A delicious romantic comedy.,Maggie and Lila have been dating for over a year.
Planet of the Vampires,"['science fiction', 'horror']",This was the day the universe trembled before the demon forces of the killer planet!,This is the first in a series of short stories set in an alternate universe.
Fearless,['drama'],Some people are afraid of nothing.,I'm not sure what to do with my life.
The Silent World,['documentary'],Out of an uncharted universe - comes an experience of unearthly beauty...,"The film is based on the novel of the same name by Jean-Paul Sartre, which was published in 1957."
Ten Seconds to Hell,"['romance', 'drama', 'war', 'action']",BLOCKBUSTER ABOUT TO EXPLODE!,One of the world's most notorious serial killers.
A Face in the Crowd,['drama'],"POWER! He loved it! He took it raw in big gulpfuls...he liked the taste, the way it mixed with the bourbon and the sin in his blood!","Lonesome Rhodes is a young woman who finds herself in the midst of a life-changing battle with her ex-boyfriend, a man who has been"
"Not For, or Against (Quite the Contrary)","['drama', 'crime']",The wrong path is often the best.,Caty's life is in danger.
Proof,"['drama', 'mystery']",The biggest risk in life is not taking one.,"Catherine is a woman in her late twenties who is strongly devoted to her father, Robert, a brilliant and well-known mathematician whose grip on reality is beginning to"
Korengal,['documentary'],This is what war feels like,It's time for a new era of peace.
Dangerous Money,"['crime', 'mystery']",One of Chan's Most Terrifying Cases!,He'll be back.
Circus World,"['western', 'drama']",John Wayne Wild Across the World!,I'm not going to let you down.
The Hippopotamus,['comedy'],A beast of a comedy.,A young man is kidnapped by a group of evil aliens who want to take him back to Earth.
Frankenweenie,"['comedy', 'family']",A comic twist on a classic tail!,When a car hits young Victor's pet dog Sparky (who stars in his home-made monster movies) he decides to bring him back to life the only
Four Rooms,"['crime', 'comedy']","Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments.
About a Boy,"['drama', 'comedy', 'romance']",One ordinary couple. One little white lie.,Will Freeman is a hip Londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold.
Old Fashioned: The Story of the Wisconsin Supper Club,"['documentary', 'history']",A new documentary on an old fashioned tradition,The story of the Wisconsin Supper Club.
The Lady in the Car with Glasses and a Gun,['drama'],Her first mistake was getting into the car.,Dany is the only person who knows where she is.
Dead Snow 2: Red vs. Dead,"['horror', 'action', 'comedy']",Heads up. They're back.,The final chapter of George A.
Empire Falls,"['drama', 'romance']",Every small town has a big story,A young man and his family are forced to live in a small town in the middle of nowhere in order to survive.
Air Bud: Seventh Inning Fetch,"['comedy', 'drama', 'family']",He's A Natural Baseball Player With Major League Talent!,Josh is back.
The Yankles,['comedy'],They Came. They Prayed. They Played!,"Charlie Jones, a washed up, ex major league ballplayer, and how he gets a second chance at life and love by managing a Jewish, orthodox yesh"
Super Stooges vs the Wonder Women,"['action', 'adventure', 'science fiction', 'comedy', 'fantasy']",Three men with supernatural powers interfere in a tribal warfare to prevent evil Amazons destroying the inhabitants of a village.,A young girl is kidnapped by the evil Amazons.
Torture Garden,['horror'],Do You Dare See What Dr. Diabolo Sees?,It's time to go back in time.
The Secret of NIMH,"['fantasy', 'animation', 'drama', 'family']",Right before your eyes and beyond your wildest dreams.,It's time for a new adventure.
The Dukes,"['comedy', 'crime', 'drama', 'music']","The music was then , the time is now","The Dukes,a Doo Wop group, were on top of the world at 17, now are struggling for survival in 2008."
Field of Dreams,"['drama', 'fantasy']","If you believe the impossible, the incredible can come true.",A young man in his mid-twenties finds himself in the middle of a war between his father and his mother.
Ferocious Planet,"['adventure', 'action', 'thriller', 'science fiction']",They're Not on Earth Anymore.,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality."
Half Moon Street,['drama'],"Dr. Lauren Slaughter, professor, emissary, hooker, target.","In the middle of a war between the Arabs and the Israelis, a group of Arab soldiers are ambushed and killed by the Israeli army."
The World Is Not Enough,"['adventure', 'action', 'thriller']",As the countdown begins for the new millennium there is still one number you can always count on.,Bond and his friends are on a mission to save the world.
Life,"['horror', 'science fiction', 'thriller']",Be careful what you search for,"The crew of the International Space Station is tasked with studying a sample from Mars that may be the first proof of extra-terrestrial life, which proves more intelligent"
Tracks,"['crime', 'drama']",His life began a dead end.,This is the story of a group of teenagers who decide to go on a road trip to New York City in order to save their lives.
The Carey Treatment,"['crime', 'mystery', 'thriller']",Peter Carey M.D.: arrives from the coast - finds hypocrisy in a big Boston hospital - and a brilliant surgeon accused of abortion that turns to murder.,It's time to get back to work.
Feast,"['animation', 'comedy', 'drama', 'family']",Pet is not just a pet,"This is the story of one man's love life as seen through the eyes of his best friend and dog, Winston."
Bonnie's Kids,"['action', 'drama', 'crime']",They Were Born Innocent ... But They Didn't Stay That Way.,It's time for the family to move on.
Virgin Witch,['horror'],Every man was hers to command,It's time for Christine to go back to school.
Victim,['drama'],Their future was menaced by the past,He'll be back.
The Outlaw Josey Wales,"['drama', 'western']",...an army of one.,He'll be back.
Gambling House,['crime'],Here comes Mature !,He'll be back.
Live Free or Die Hard,"['action', 'thriller']",The old school cop is back!,"John McClane is back and badder than ever, and this time he's working for Homeland Security."
