Title,Original,Generated
Planet of the Vampires,This was the day the universe trembled before the demon forces of the killer planet!,The future is about to be destroyed.
Fearless,Some people are afraid of nothing.,You can't escape your past.
The Silent World,Out of an uncharted universe - comes an experience of unearthly beauty...,The world's first underwater film
Ten Seconds to Hell,BLOCKBUSTER ABOUT TO EXPLODE!,One man's war.
A Face in the Crowd,"POWER! He loved it! He took it raw in big gulpfuls...he liked the taste, the way it mixed with the bourbon and the sin in his blood!",A Face In The Crowd
"Not For, or Against (Quite the Contrary)",The wrong path is often the best.,The story of a woman who became a hero.
Proof,The biggest risk in life is not taking one.,It's not just a mathematical problem.
Korengal,This is what war feels like,The story of a war that changed the face of the earth.
Dangerous Money,One of Chan's Most Terrifying Cases!,Two men.
Circus World,John Wayne Wild Across the World!,It's not just a circus.
The Hippopotamus,A beast of a comedy.,"A comedy about love, power, and the supernatural."
Frankenweenie,A comic twist on a classic tail!,It's not just a dog.
Four Rooms,"Twelve outrageous guests. Four scandalous requests. And one lone bellhop, in his first day on the job, who's in for the wildest New year's Eve of his life.",The most outrageous night of your life!
About a Boy,One ordinary couple. One little white lie.,He's a single dad.
Old Fashioned: The Story of the Wisconsin Supper Club,A new documentary on an old fashioned tradition,The story of the supper club in Wisconsin.
The Lady in the Car with Glasses and a Gun,Her first mistake was getting into the car.,She's going back to Paris.
Dead Snow 2: Red vs. Dead,Heads up. They're back.,Prepare to die.
Empire Falls,Every small town has a big story,It's not just a place.
Air Bud: Seventh Inning Fetch,He's A Natural Baseball Player With Major League Talent!,He's got a lot on his mind.
The Yankles,They Came. They Prayed. They Played!,The story of Charlie Jones
Super Stooges vs the Wonder Women,Three men with supernatural powers interfere in a tribal warfare to prevent evil Amazons destroying the inhabitants of a village.,Evil is coming to town.
Torture Garden,Do You Dare See What Dr. Diabolo Sees?,They're going to have to pay extra.
The Secret of NIMH,Right before your eyes and beyond your wildest dreams.,It's not just a mouse.
The Dukes,"The music was then , the time is now",They're Back
Field of Dreams,"If you believe the impossible, the incredible can come true.",It's not just a game.
Ferocious Planet,They're Not on Earth Anymore.,It's not just a dream.
Half Moon Street,"Dr. Lauren Slaughter, professor, emissary, hooker, target.",Love is a game.
The World Is Not Enough,As the countdown begins for the new millennium there is still one number you can always count on.,Bond is back.
Life,Be careful what you search for,Six astronauts on a mission to discover the truth about life on the Red Planet.
Tracks,His life began a dead end.,The story of a kid who thought he had it all figured out.
The Carey Treatment,Peter Carey M.D.: arrives from the coast - finds hypocrisy in a big Boston hospital - and a brilliant surgeon accused of abortion that turns to murder.,It's all in the name of love.
Feast,Pet is not just a pet,The story of a man who loves to eat.
Bonnie's Kids,They Were Born Innocent ... But They Didn't Stay That Way.,Sometimes you just have to live it.
Virgin Witch,Every man was hers to command,She's got a secret.
Victim,Their future was menaced by the past,It's not about sex.
The Outlaw Josey Wales,...an army of one.,The story of a man who risked everything to save his family.
Gambling House,Here comes Mature !,It's not a game.
Live Free or Die Hard,The old school cop is back!,He's back and worse than ever.
Octopus 2: River of Fear,Above and below the water there is no escape,It's not the end of the world.
Ragin Cajun Redneck Gators,Mutant gators take a bite out of the bayou!,They're coming for you.
The Care Bears Movie,What happens when the world stops caring?,A comedy about friendship.
Pretty Persuasion,The devil wears a grey skirt and her name is Kimberly Joyce.,It's not what you think.
Jim Jefferies: I Swear to God,Heaven Help Us,I swear to God
Farce of the Penguins,What Happens In Antarctica... Stays in Antarctica,"A comedy about love, sex, and penguins."
Grown Ups,Boys will be boys. . . some longer than others.,They're back.
Hiroshima,"The Horror, the pain and the suffering of Hiroshima!",The story of the first atomic attack.
The World's End,Good food. Fine ales. Total Annihilation.,They're Back
Sleight,You can change the cards you're dealt,It's not just a movie.
Heart Like a Hand Grenade,The Making of the Album American Idiot,Rock 'n' Roll's Greatest Albums of All Time
The Thief Lord,Magic is just around the corner.,The story of two boys.
The Heartbreak Kid,He waited all his life to get married. Too bad he didn't wait another week.,A comedy about a guy who can't wait to get laid.
Max Payne,When a Man Has Lost Everything. He Only has Revenge,It's not murder.
Captain Kidd,Adventure on the high seas!,The story of a man who risked everything to save the life of a woman he loved.
Report to the Commissioner,No One Knew She Was An Undercover Policewoman. Including The Detective Who Killed Her.,"She's a cop, not a cop."
Butch and Sundance: The Early Days,Before the fame when fun was the name of the game.,They're Back
Hard Eight,"When good luck is a long shot, you have to hedge your bets.",It's not a game.
Shades,Drama Comedy,It's not a movie.
Crazy Heart,"The harder the life, the sweeter the song.",The story of a man who changed the face of music forever.
City Hall,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,It's not what you think it is.
Time Bomb,Can they... will they... stop that TERROR ON A TRAIN,He's the only one who knows how to detonate a bomb.
The Adderall Diaries,The truth is a motherf_cker.,Stephen Elliott is back.
"Love, Rosie",Right Love. Wrong Time.,Love is a game.
The Wolverine,"When he's most vulnerable, he's most dangerous.",The greatest adventure of all time.
How to Lose a Guy in 10 Days,One of them is lying. So is the other.,10 days is a long time to live.
Smokin' Aces 2: Assassins' Ball,"Prepare for Murder, Mayhem & Madness.",It's not just a job.
The Frozen Ground,The hunter becomes the hunted,It's not the end of the world.
Ballet Shoes,Dreams do come true.,The story of a man who risked everything to save a girl's life.
Matchstick Men,Lie. Cheat. Steal. Rinse. Repeat.,She's coming for you.
A Better Tomorrow,Are the police above the law? I'll send my insurance claim to you.,The story of a man who changed his life forever.
Drive-In Horrorshow,Five Tales of Terror to Quench Your Thirst for Horror,5 Short Films From The Horror Sub-Genres
State of the Union,How's the State of the Union? It's GREAT!,It's a race to the bottom.
Sorrow,Every Good Feeds On Evil,She's a killer.
My Stepmother is an Alien,Man's closest encounter.,Love is a journey.
Leo the Last,Imagine being the last of anything.,The Prince of the West.
Carry On Girls,When it comes to Beauty Queens - It's 'Carry On' and Bust!,The beauty contest is over.
Coach,Love is the Goal,It's not just a job.
Devil in a Blue Dress,Private detective Easy Rawlins has been caught on the wrong side of the most dangerous secret in town.,The story of a man who risked everything to find the missing woman.
No Time for Comedy,A country boy takes over Broadway . . . until he gets into heart-trouble!,The story of one man's quest to become the greatest playwright of all time.
The Youngest Profession,She got their autographs in...,"A comedy about love, marriage, and the world of autographs."
J. Edgar,The most powerful man in the world.,The most dangerous man in America is back.
The Net 2.0,"Foreign Country, No Money, No Identity, Nothing is as it seems ...",The story of a computer system analyst.
Self/less,God Created Man. Man Created Immortality.,What if you could see the future?
Torch Song,Tough Baby - a wonderful love story with the star of,She's the star of a Broadway musical.
Dinoshark,Fear what's below the surface,It's not just a movie.
Amores perros,Love. Betrayal. Death.,A comedy about life and death.
White Chicks,They're going deep undercover.,They're not going anywhere.
Aguirre: The Wrath of God,A breathtaking journey into the heart of darkness,The adventure of a lifetime.
The Grey Fox,"In 1901, after 33 years in San Quentin Prison, Bill Miner, ""The Gentleman Bandit"", was released into the Twentieth Century.",The man who made the world a better place.
Blood Shack,I Warned Her Not To Go Inside!,The story of a woman who's haunted by the Chooper.
Chaos Theory,This man will bring order to the universe...or not.,It's not what you think it is.
Noel,Miracles are closer than you think,The story of Christmas Eve
In Pursuit of Honor,As soldiers they were taught to fight for honor. As men they were willing to die for it.,They're Back!
Ax 'Em,It was supposed to be a weekend getaway until the horror began.,Sometimes the only way out is to stay alive.
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,"Finally, the movie that proves that Justice isn't always Poetic, Jungle Fever isn't always pretty, and Higher Learning can be a waste of time.","He's got a lot of guns, but he doesn't have a gun."
Russian Terminator,The Ninja Mission Continued...,He's back.
The City Dark,A search for night on a planet that never sleeps,It's not just the stars.
The Protector,Vengeance Knows No Mercy,The story of a man who risked everything to save a baby elephant.
Crossfire Trail,A hero is measured by the enemies he makes.,It's not just a ranch.
Messiah of Evil,Terror you won't want to remember - In a film you won't be able to forget.,She's looking for a place to live.
Madhouse,The bad news is you have houseguests. There is no good news.,It's not a movie.
Revenge of the Nerds II: Nerds in Paradise,They're Back!,It's not about the party.
Cold Comes the Night,Sometimes the fight of your life comes in the dead of night.,The only way to save your life is to save yourself.
Tamara,Revenge has a killer body.,Revenge is the only way out.
Silk,"Come Back, or I Shall Die...",The story of one man's journey to find his true love.
The Dirty Dozen: The Deadly Mission,When it's impossible... send in the Dozen.,The only way to save the world is to die.
Death Valley,Welcome To Death Valley,The road trip is about to get a whole lot harder.
Angels of Sex,"All beautiful and all in love, but this not heaven...",Love is a journey.
Trail of the Pink Panther,The Newest and Funniest 'Panther' of them all.,The true story of one of the world’s most famous jewel thieves.
St. Martin's Lane,A Heart-Stirring Drama of Peace-Time London!,"A comedy about love, sex, and money."
How Stella Got Her Groove Back,Sometimes you have to break the rules to free your heart.,Love is a journey.
"Man, Woman and Beast",A Feast For All Of The Senses!,"A story of love, death and rebirth."
An Insignificant Harvey,People can only make you feel small if you give them permission.,"A comedy about love, friendship, and a little girl."
Girl in Gold Boots,"The glitz and glamor of being a big time Hollywood Go-Go dancer looked good from a distance, but up-close it was another story...this story",She's the star of the show!
Bodyguards and Assassins,"To save a nations future, they must protect one man from its past.",He's the only one who can stop them.
The Railway Man,Revenge is never a straight line.,Death Railway
Coach Carter,It begins on the street. It ends here.,The story of a coach who made the wrong decision.
The Thing That Couldn't Die,The grave can't hold it ...nothing human can stop it!,The Devil Has A New Face
The Painting,Break on through to the other side.,The story of three people living in a unfinished painting.
I'm Not There.,All I Can Do Is Be Me Whoever That Is,The story of a man who changed the face of music forever.
Maximum Overdrive,Stephen King's masterpiece of terror directed by the master himself.,It's not the end of the world.
Sade,He was a man ahead of his time. His ideas on love and sex shocked his generation.,The story of one man's journey from youth to adulthood.
After the Ball,Fairytales are always in fashion,A fairy tale with a twist.
Ya Sonra?,Külkedisi prens ile evlenir ve masal biter. Peki ya sonra?,Nothing on Earth could come between them.
Together,Some lessons can only be learned by heart.,The story of one boy's journey to the top.
Rabbit-Proof Fence,"Follow Your Heart, Follow The Fence",Three girls.
House of Horrors,Meet...The CREEPER!,It's not just a movie.
Safety Not Guaranteed,What would you go back for?,Meet the man who changed the world.
Destination Tokyo,Explosive ! . . . And As Big As The Broad Pacific !,The most dangerous mission in the history of the Navy!
War and Peace,The Greatest Novel Ever Written ... Now Magnificently Alive On The Screen!,The true story of a man who rose to the top of the world.
The Narrows,"He's got to get out, if he's going to get ahead.",The story of a boy who lost everything
Toy Story of Terror!,One toy gets left behind!,It's not just a toy.
For Me and My Gal,She's a Yankee Doodle Girlie !,The story of a man who risked everything to save his country.
The Candidate,Too Handsome. Too Young. Too Liberal. Doesn't have a chance. He's PERFECT!,He's not a politician.
My Best Friend's Girl,It's funny what love can make you do...,"A comedy about love, sex, and revenge."
Lady in a Cage,Do not see,
Kid Galahad,Presley packs the the screen's biggest wallop...with the gals...with the gloves...with the guitar!,The Greatest Story Ever Told!
The Reluctant Debutante,MGM presents the Comedy-Romance in luscious COLOR!,"A comedy about love, marriage, and the future."
Ninja Assassin,"Fear not the weapon, but the hand that wields it.",The Ultimate Ninja Assassin
"A Man, a Horse, a Gun",Trap him! Tease him! Throw him in a coffin... But don't get the stranger mad!,The greatest adventure of all time!
House of Dark Shadows,Come see how the vampires do it,It's not just a story.
HyperNormalisation,Our world is strange and often fake and corrupt. But we think it’s normal because we can’t see anything else. HyperNormalisation - the story of how we got here.,What happens when you can't control your own destiny?
Letters from Iwo Jima,The battle of Iwo Jima seen through the eyes of the Japanese soldiers.,The true story of one of the greatest battles of all time.
Tall in the Saddle,WAYNE PACKS A WALLOP...In Action...In Love!,Rocklin is back!
Camp X-Ray,Connection takes courage,The story of a woman who risked everything to fight for the truth.
Confessions of a Teenage Drama Queen,She's making a scene over everything.,"A comedy about love, friendship, and the power of music."
Seedpeople,The root of all evil...,They're coming for you.
Hearts and Minds,The Forever War. Goes On,The story of a war that changed the face of the world.
Still Bill,You know the music. Now meet the man.,The story of a legend.
Obsession,Hidden LOVE! Hidden HATE! Hidden FEAR!,She's got a killer on her mind.
The Reckoning,The truth shall come to light,The story of a man who fell in love with a woman who was condemned to death by the Inquisition.
Blind Alley,STAND IN HIS WAY..AND DIE!,It's not just a dream.
Cabin Fever: Patient Zero,The Birth of Fear,There's Something Wrong With The Water
Blended,"Single Dad, No Clue. Single Mum, Flying Solo.",It's not what you think.
The Time Machine,You Will Orbit into the Fantastic Future!,The future is not what it used to be.
Stranded,Germinate. Contaminate. Annihilate...,It's not just a meteor.
True Blue,To be second is to be last.,The Boat Race of the Year
The Gambler Returns: The Luck Of The Draw,"Before the wildest poker game in history, the was the wildest adventure in the West.",It's not poker.
Gone in Sixty Seconds,"Ice Cold, Hot Wired.",He's got it all.
Life as a House,"Seen from a distance, it's perfect.",Sometimes life is just too good to be true.
"Family Guy Presents: Something, Something, Something, Dark Side","Something, Something, Something, Dark Side",Star Wars is back!
Bad Boys II,"If you can't stand the heat, get out of Miami.",They're back for more!
Unconditional,It's not a dead end if it takes you somewhere you needed to go.,Life is a journey.
CJ7,It's out of this world.,It's not just a toy.
The Beach Girls and the Monster,Go! Go! Go! The Coolest Monster Shindig of Chicks and Chills!,It's not just a beach.
The Tiger of Eschnapur,Der deutsche Millionen-Film!,The story of a man who saved a woman's life.
Reckless Kelly,The incredible untold story of the greatest outlaw of all time.,The story of Ned Kelly.
One More Time,The hardest act to follow is your father's.,She's a rock star.
The Waiting Room,"One Hospital, Hundreds of stories",The waiting room is a story.
One on Top of the Other,"What Is The Most Incredible Thing A Woman Ever Did For $1,000,000?",It's not murder.
Wild at Heart,A wild crazy love story.,A comedy about love and death.
The Tunnel,The light runs out,The truth is out there.
Beverly Hills Chihuahua 3 - Viva La Fiesta!,Family Always Matters,"A story of love, friendship and adventure."
One Minute Time Machine,It's about him. It's about her. It's about time.,Sometimes you have to make a choice.
Soul Surfer,"When you come back from a loss, beat the odds, and never say never, you find a champion.",A true story.
The Brain,Mind over matter,It's not what you think.
Casino Royale,Everyone has a past. Every legend has a beginning.,The most dangerous game in the world.
Lightning Bug,There are monsters standing in his way.,Sometimes you have to fight for what you believe.
The Naked Street,They live on the main drag of Brooklyn's jungle !,The story of the gangster.
It Came from Outer Space,Fantastic sights leap out at you!,It's not just a meteor.
A Good Day to Die Hard,Yippee Ki-Yay Mother Russia,A cop with a conscience.
Borderland,The Devil's Playground is Just Around The Corner,It's not just a trip.
Son of Dracula,The First Rock-and-Roll Dracula Movie!,He's the King of Monsters!
The Cloth,"The battle for your soul, has begun!",Evil is coming to America.
Snow Day,Roads closed. Schools shut. Rules were made to be frozen!,It's not just a snowstorm.
The Green Glove,In This Deadly Game... He Could Lose Only Once!,The story of a man who risked everything to save his country.
Hulchul,It's one crazy love story!,"A comedy about love, romance, and revenge."
Final Fantasy VII: Advent Children,"Is it for the children, for a memory, or for himself?",Death is coming.
Giallo,"To Catch a Killer, You Must Think Like a Killer!",It's not just a crime.
Allied,The enemy is listening.,The story of two men who risked their lives to save one another.
The Dark Side of the Sun,They needed a miracle for their love to survive,The story of a man who risked everything to become a man.
Love Me Tonight,Warm Love! Hilarious fun! Sweet music! Hot lyrics!,A love story that will change your life forever.
Legion,Their mission was simple... Kill something that couldn't be killed.,It's not just a movie.
Godzilla,Size does matter.,It's not just a monster.
Filly Brown,This is my life.,It's not easy being a kid.
Rad,A hometown kid on his BMX against the best in the world. At Helltrack... the heat is on.,It's not a race.
Trust Me,He'll make you a star if it kills him.,Trust me.
Edward Scissorhands,His scars run deep.,He's back!
They Made Me a Criminal,Sensational Human Drama!,The greatest boxer of all time is back!
The Claim,Everything has a price.,The story of a man and a woman who met and fell in love.
Since Otar Left,"For a mother, a sister and a niece, nothing is the same... Since Otar Left",The story of Otar's life and death.
Shoot First And Pray You Live,I Am Goin To  Kill You Dead,Revenge is the deadliest weapon in the world.
The Doctor,An Uplifting Story About Finding New Meaning In Life.,There's more than one way to be a doctor.
Two Evil Eyes,When I wake you... you'll be dead,There is no such thing as a dead cat.
In Old Arizona,The first all-talking sound-on-film feature.,They're Back!
At the Devil's Door,It's looking for a home.,It's not what you think.
The Boss Baby,Born leader,The story of a child's arrival affects a family.
The Transformers: The Movie,Beyond good. Beyond evil. Beyond your wildest imagination.,The battle for the future begins.
Miss Congeniality,Never Mess With An Agent In A Dress.,She's the only one who can stop him.
The Power of One,An exhilarating epic of a triumph of the heart.,Fight With Your Fists and Lead With Your Heart
My Sassy Girl,"She's Beautiful, Smart, Funny And Totally Crazy.",He's got a plan.
Calcutta,Adventure In The Far East ! Battling Buddies Gunning For Trouble !,"A comedy about love, sex, and death."
A Pistol for Ringo,Quick- Treacherous- And Deadly To Anyone Who Tried To Cross Them!,The story of a man who risked everything to save the lives of his people.
No Way Home,Blood ties can be murder.,The future is in your hands.
Angst,Based on a true story.,He's out to get you.
Private Number,Remember Me?,It's not what you think it is.
Gothika,Because someone is dead doesn't mean they're gone.,It's not murder.
Lady of Vengeance,A shocking woman... a shocker of a story!,The perfect murder
Hugo Pool,A comedy with serious relief,The story of a man who fell in love for the first time.
The Dark Side of The Moon,Beyond Rescue ... Beyond Reason ... Beyond Salvation,It's the Year 2022.
Blockade,Romance under Fire!,"A story of love, war and betrayal."
Lilith,POWERFUL SHOCKER ABOUT LOVE!,You can't escape your past.
The Prey,Prey for the Hunted...,The only way out is through the cave.
The Lazarus Papers,Who say you only die once?,Love is the most precious commodity in the world.
Carpool,A dad in a hurry. A man on the run. And five kids with an attitude.,A comedy about a man with a big heart.
The Man Who Copied,"Life is original, everything else is copy","A comedy about love, money, and the future."
Excess Baggage,"A crash course in kidnappings, car thefts and other rituals of dating.",You can't escape your past.
The Omen,It is the greatest mystery of all because no human being will ever solve it.,It's not just a movie.
Unexpected,No one is ever really prepared.,Sometimes the only thing you can do is wait.
The League of Gentlemen's Apocalypse,To save their world... They're coming to ours...,There's only one way to save the world.
The Naked Truth,The screamingly funny comedy team!,The story of one man's attempt to destroy the world.
Gloria,Gloria. Big mouth. Big attitude. But who knew she had a big heart.,The story of a girl who was raised by the mob.
The Brotherhood of Justice,They were the best kids in the neighborhood ... until they decided it was time to fight back.,Brotherhood of justice
Shangri-La Suite,Meet Karen Bird and Jack Blueblood. Lovers. Dreamers. Serial Killers.,The story of a man who became a legend.
Ice Age: A Mammoth Christmas,Why am I on Santa's naughty list? Why? Why?,They're Back!
TRON: Legacy,The Game Has Changed.,It's not just a game.
She's Gotta Have It,A Seriously Sexy Comedy,Three men.
Kill for Me,What wouldn't you do for your roommate?,You can't kill for me.
Monster,The first female serial killer of America,She's got a killer on her mind.
Pigsty,"I killed my father, I ate human flesh, and I quiver with joy.",The story of a man who killed his father.
The Portrait of a Lady,Based on the Novel by Henry James.,She's got a lot of money to spend.
The Hunger Games: Mockingjay - Part 1,Fire burns brighter in the darkness,The Hunger Games is over.
Scary or Die,Whats so ##%&@# funny ?,The City Of Angles
Calvary,Killing a priest on a Sunday. That'll be a good one.,He's got the power to save the world.
The Dentist,It's been six months. Time for your check-up!,It's time to get rid of the decay.
The Butler,One quiet voice can ignite a revolution.,The story of a man who made America great again.
The First Texan,HE LEFT HIS MARK ACROSS THE WEST'S THOUSAND TOUGHEST MILES,The battle for Texas is about to begin.
Turbo: A Power Rangers Movie,The Power Is Back!,The Power Rangers will stop at nothing to save the world.
Fender Bender,A Crash Course in Terror,It's not what you think it is.
A Soldier's Daughter Never Cries,The city of lights. A famous American author and the decade that changed a generation...forever.,The story of a man who lived his life to the fullest.
Broadway Melody of 1938,So New It's A Year Ahead!,The story of a man and a woman who fought for the right to ride a horse.
The Haunted Palace,A warlock's home is his castle...Forever!,Revenge is the only way out.
Pillow Talk,Footloose bachelor...beautiful career girl...and the world's most fascinating pastime!,"A comedy about love, sex, and love."
8 X 10 Tasveer,8x10 Tasveer,The story of a young man who uses his supernatural powers to uncover the truth.
Rude Awakening,They came back after 20 years to find nobody wants to save the world-- They just want to buy it.,They're back.
The First Deadly Sin,He's searching for a killer. She's searching for a miracle .... And time is running out.,It's not murder.
The Tingler,Ghastly Beyond Belief!,Fear is contagious.
No Problem,Some crimes are just funny!,The story of a man who changed his life forever.
The Great Bank Hoax,"God Bless America. But grab what you can, just in case.",It's not just a bank robbery.
Blood for Dracula,He couldn't live without a virgin's blood..... ...So a virgin had to die!,The Count of Dracula is back!
Zandalee,One woman... two men... one driven by desire. The other driven to the edge.,"A comedy about love, lust and betrayal."
Desperate Journey,"Man alive, Just picture this excitement!",The only way out is to get out.
The Decoy Bride,You may now kiss the decoy.,"She's got the talent, the talent and the talent."
Killer Party,"By the end of the dance, some of the sorority sisters were dead on their feet.",The sorority sisters are back!
"Jails, Hospitals & Hip-Hop",three worlds / two million voices / one generation,The story of a man who changed the face of the world.
Wonder Woman,Courageous princess. Fierce warrior. Legendary superhero.,The greatest adventure of all time!
Love Letters of a Portuguese Nun,Satanic lust behind cloister walls...,It's not a dream.
Female Trouble,Nice girls don't wear cha-cha heels.,"The story of a mother, a father, and a killer."
The Age of Adaline,Love is timeless.,Sometimes you have to change your past to change yourself.
Blondie Johnson,LOVE made her beautiful... WANT made her daring... MEN made her ruthless!,She's got a plan.
The Right Stuff,How the future began.,America's first manned space mission.
RoboCroc,Everybody Out of the Pool,Survival is the ultimate weapon.
Revenge of the Nerds,The time has come for REVENGE OF THE NERDS,It's not about the rules.
Sabrina,You are cordially invited to the most surprising merger of the year.,He's a duckling.
August: Osage County,Misery loves family,A family is a family.
Whiplash,The road to greatness can take you to the edge.,It's not what you think it is.
3:10 to Yuma,The Lonesome Whistle of a Train... bringing the gallows closer to a desperado--the showdown nearer to his captor!,It's a race to the finish
Welcome Home Brother Charles,They Tried To Take Everything - Even His Manhood!,The story of one man's journey to justice.
Test Pilot,They're yours... in a heart-walloping love story!,The story of a man who risked everything to make the world a better place.
The Million Pound Note,Great fun... you can bank on it!,It's not just a note.
The Truth,The truth... Is always complicated.,It's not a home invasion.
The Letter,"Blinded by the fury of passion - by the despair of a lost love -- she had not reckoned with ""The Letter""",It's not murder.
Not as a Stranger,stands alone! first as a book... now as a motion picture!,The story of a man and a woman in love.
The Contract,Every Killer Meets His Equal.,He's out to get you.
Salvage,Fear Cannot Be Contained,The only thing more terrifying than terror is fear.
Wizards of the Lost Kingdom,A Brave Boy And A Great Warrior Seek The Ring Of Ultimate Power,The greatest adventure of all time!
Dead Bang,For one cop this isn't just a case. It's a war.,It's not Christmas.
The Elephant Man,I am not an animal! I am a human being! I... am... a man!,A true story.
One for the Money,She's looking for a few not-so-good men,It's not just a job.
Zombie Christ,The Most Blasphemous Story Ever Told,The Last Day of the Messiah
Naqoyqatsi,America is test-driving the future,The world is about to change.
Grandma's Boy,A movie that proves you're never too old to come of age.,"When you're 35, you can't play video games anymore."
The Newton Boys,Four Brothers. Four Criminals. For The Money... They Would Stop At Nothing.,Four brothers.
The Apostle,The hardest soul to save was his own.,A preacher.
